	condition	type
4somites_1	4somites	Whole Embryo
4somites_2	4somites	Whole Embryo
4somites_3	4somites	Whole Embryo
5somites_1	5somites	Whole Embryo
5somites_2	5somites	Whole Embryo
5somites_3	5somites	Whole Embryo
5somites_4	5somites	Whole Embryo
6somites_1	6somites	Whole Embryo
6somites_2	6somites	Whole Embryo
6somites_3	6somites	Whole Embryo
6somites_4	6somites	Whole Embryo
7somites_1	7somites	Whole Embryo
7somites_2	7somites	Whole Embryo
7somites_3	7somites	Whole Embryo
7somites_4	7somites	Whole Embryo
